tweet_id,author_id,text,tweet_type,like_count,company_name,quote_count,reply_count,retweet_count,created_at
1470385786713513989,1115694404008796160,"15/ When you see Amazon advertise its Climate Pledge, think about the workers who are most at risk &amp; who Amazon leaves w/o protection from extreme weather. Workers like Clayton Cope, who tried harder to warn his coworkers than the company they worked for. https://t.co/vTrlUwdLGf",replied_to,7,Amazon,0,0,8,2021-12-13T13:31:04.000Z
1470385784989663232,1115694404008796160,"14/ We stand with our coworkers who have fought for protections from the company’s negligence. We know Amazon can do far more to ensure workers are not put in that position in the first place. Solidarity and love to fellow Amazon workers everywhere.
https://t.co/X6Fw39JCsr",quoted,5,Amazon,0,1,1,2021-12-13T13:31:04.000Z
1470385783190310914,1115694404008796160,"13/ Climate chaos is accelerating. Amazon still isn’t doing enough to take proactive steps to protect workers from extreme heat, fires, smoke, floods, super storms, and all of the other forms of extreme weather linked to climate change. 
https://t.co/iTNVYZ2ye9",quoted,1,Amazon,0,1,1,2021-12-13T13:31:03.000Z
1470385781168648194,1115694404008796160,"12/ Amazon’s treatment of workers during the pandemic, including its retaliation against those who spoke up and organized for better conditions, are another horrific reminder of how it treats its workers: 
https://t.co/J4VcR3Wcp5",quoted,2,Amazon,0,1,0,2021-12-13T13:31:03.000Z
1470385779532779528,1115694404008796160,"11/ Just this month, a study found that MN Amazon workers face a higher injury rate than any other industry in the entire state. Thank you for your work bringing this to light, @AwoodMpls.
https://t.co/mvtsjeUzjY",replied_to,3,Amazon,1,1,0,2021-12-13T13:31:02.000Z
1470385777943134208,1115694404008796160,"10/ Amazon’s disregard for the lives and safety of its workers that we’ve seen in the #AmazonTornado and past extreme weather events are business as usual at Amazon. Amazon has a “80% higher” injury rate than its competitors:
https://t.co/5VXwC0FF4H",replied_to,2,Amazon,0,1,0,2021-12-13T13:31:02.000Z
1470385776294862848,1115694404008796160,"9/ Two Amazon workers died during a tornado storm in Baltimore in 2018. So in 3 years time, why hasn't one of the most efficient and adaptable companies in the world been able to come up with basic policies that ensure worker safety?
https://t.co/N4gmuYnqjX",replied_to,3,Amazon,0,2,1,2021-12-13T13:31:02.000Z
1470385774138961926,1115694404008796160,"8/ In September, Amazon warehouse workers in NYC were told to report to work during ""dangerous and life-threatening"" flash floods following hurricane Ida:
https://t.co/iTNVYZ2ye9",quoted,3,Amazon,0,1,0,2021-12-13T13:31:01.000Z
1470385772079505416,1115694404008796160,"7/ In June this year, Amazon warehouse workers in the PNW were forced to work in triple-digit temps without air conditioning during a record-shattering heatwave. 
https://t.co/Jl4x2Di9st",quoted,2,Amazon,0,1,0,2021-12-13T13:31:01.000Z
1470385770200502279,1115694404008796160,"6/ In 2018, we filed a shareholder resolution because we felt Amazon wasn’t taking the threat of climate change seriously enough. 
https://t.co/rdmaqjSSxl",replied_to,3,Amazon,0,1,0,2021-12-13T13:31:00.000Z
1470385768648556545,1115694404008796160,5/ This is not the first time that Amazon’s negligence during extreme weather has resulted in worker health risks and death - this is the third time in the last 6 months Amazon has forced workers to work during life-threatening weather.,replied_to,2,Amazon,0,1,0,2021-12-13T13:31:00.000Z
1470385766446649351,1115694404008796160,4/ search and rescue teams didn’t even know how many people they were trying to rescue because it was a shift change. Why was there a shift change at all during an active tornado?? https://t.co/YMjAU7jFTr,quoted,3,Amazon,0,1,0,2021-12-13T13:30:59.000Z
1470385764907298821,1115694404008796160,"3/ Amazon also bans workers from bringing cell phones into the facilities, preventing workers from getting extreme event warnings or reliable sources of information. In addition,
https://t.co/L8tdMOOasp",replied_to,3,Amazon,0,1,0,2021-12-13T13:30:59.000Z
