tweet_id,author_id,text,tweet_type,like_count,company_name,quote_count,reply_count,retweet_count,created_at
tweet_id,author_id,text,tweet_type,like_count,company_name,quote_count,reply_count,retweet_count,created_at
1584552575600586755,2293315159,"Happy #Diwali to all those celebrating! May your festivities be filled with joy and light.
 
In this 2010 photo, President @BarackObama and First Lady @MichelleObama are at a Diwali candle lighting and performance at Holy Name High School in Mumbai, India. https://t.co/bT330Go17H",,937,ObamaFoundation,7,23,171,2022-10-24T14:29:08.000Z
1583760070067646464,2293315159,"Through our #ObamaLeaders Programs in Africa, Asia-Pacific, and Europe, we're supporting the next generation of leaders who aren’t waiting for someone else to tackle the world's biggest problems. Is that you?

Apply before Monday's 12 PM EST deadline! https://t.co/3ExyQ6m8c8 https://t.co/KNabtYVtWc",,333,ObamaFoundation,13,37,102,2022-10-22T10:00:00.000Z
1583560729487372288,2293315159,"“I had to learn how to love my story and to tell it with pride. I grew up on the South Side of Chicago and I'm proud of that.”
 
This week, former First Lady @MichelleObama returned to her hometown to host our latest Futures Series at Hyde Park Academy. Take a look: https://t.co/Mg3JRRlRP6",,878,ObamaFoundation,16,56,196,2022-10-21T20:47:53.000Z
1583486628428849152,2293315159,Addison Belhomme is a 15-year-old student filmmaker from Chicago who is part of @PolishedPebbles. We invited her to tell her story as part of our new #GetHerThere campaign. Take a look! 💙 https://t.co/3Lo18gAE9w,retweeted,0,ObamaFoundation,0,0,25,2022-10-21T15:53:26.000Z
1583171157401882625,2293315159,"Rowinda, one of our inspiring #ObamaLeaders from Amsterdam, shares why she thinks YOU should apply to join our 2023 Leaders Europe cohort.
 
🚨 Applications close this Monday at 12 PM EST! Learn more at: https://t.co/3ExyQ6m8c8 https://t.co/l4iIEr1P4g",,84,ObamaFoundation,1,6,30,2022-10-20T18:59:52.000Z
1582731629508038656,2293315159,"We had a special—and highly requested—guest at Monday's Futures Series. 👀 

Students at Hyde Park Academy had the opportunity to spend time with South Side native @MichelleObama. Stay tuned for the highlights! https://t.co/xCAnBGcEb0",,288,ObamaFoundation,5,26,66,2022-10-19T13:53:20.000Z
1582729627507646466,2293315159,"Glad to join @BarackObama for a conversation with local corporate leaders &amp; Chicago small business owners.

The @ObamaFoundation is working to prioritize collaboration, implement best practices, address common challenges, &amp; invest in economic success on the South &amp; West Sides. https://t.co/L8QNbFS8to",retweeted,0,ObamaFoundation,0,0,39,2022-10-19T13:45:23.000Z
1582162696694247424,2293315159,"When our youth are given the resources and support they need to break cycles, their opportunities to thrive are endless. 

We loved spending the day with incredible students from all across Chicago. https://t.co/IuPCGk4QC0",,468,ObamaFoundation,5,33,90,2022-10-18T00:12:36.000Z
1582104876871360512,2293315159,"President @BarackObama and @MichelleObama just made their voices heard at the ballot box in Chicago! 

Make sure you get out there and vote. 🗳️ https://t.co/Gm0lNXp4IX",,2864,ObamaFoundation,24,89,370,2022-10-17T20:22:51.000Z
1581648518464274432,2293315159,"#WorldFoodDay is an opportunity to celebrate those who ensure that no one is left hungry—like the community partners that help make our Local Lunchbox program a success. This summer we were able to provide over 70,000 healthy and delicious meals to young people across Chicago! https://t.co/8qcnpNQ8N3",,238,ObamaFoundation,3,7,79,2022-10-16T14:09:27.000Z
1580937927332593664,2293315159,Our commitment to Chicago starts with supporting young people! Last month we hosted our first Shadow Day with @MBK_Alliance and @GirlsAlliance youth at the McDonalds' headquarters. These outings serve as a fun and engaging opportunity to show students different career paths. https://t.co/biLDLRom9P,,222,ObamaFoundation,3,20,62,2022-10-14T15:05:48.000Z
1580936069398159361,2293315159,"It was great speaking with Imani and Austin, two outstanding @UrbanAlliance Obama Youth Jobs Corps students. They’re proof that when we connect young people with training and meaningful work experience, it benefits our communities and the world. https://t.co/6hXjZNsSXx",retweeted,0,ObamaFoundation,0,0,954,2022-10-14T14:58:25.000Z
1580562145892179968,2293315159,"Our #ObamaLeaders programs aim to inspire, empower, and connect regional cohorts of changemakers to make lasting change in their communities. We're accepting applications for our 2023 cohorts in Africa, Asia-Pacific, and Europe until Oct. 21. Apply now: https://t.co/3ExyQ6m8c8 https://t.co/hDWOwa6cNB",,136,ObamaFoundation,3,6,57,2022-10-13T14:12:35.000Z
1580258706654367744,2293315159,"True power comes not from clinging to the past, but from the effort to build a better future. We stand with the brave women and girls in Iran fighting for life and freedom. https://t.co/CgdSKbqnQ8",quoted,266,ObamaFoundation,4,21,86,2022-10-12T18:06:50.000Z
1580221276110594049,2293315159,"Futures Series is an opportunity to  connect South Side high school students with industry experts to help expose them to career paths they may not have been considering. 

Here’s what that’s looking like for the students of Hyde Park Academy: https://t.co/JCTBCyWvbL",,206,ObamaFoundation,5,12,55,2022-10-12T15:38:05.000Z
1579867202010091520,2293315159,"I spoke with @MarsaiMartin and Ingrid Tuy, a student from the @GirlsAlliance community, about our new #GetHerThere campaign and ways we can come together to support girls’ empowerment on the #DayOfTheGirl and beyond. 

Check it out: https://t.co/HxpvIDTvKZ",retweeted,0,ObamaFoundation,0,0,483,2022-10-11T16:11:08.000Z
1579811749913583616,2293315159,"💙 EXCITING news this #DayoftheGirl!
 
@MichelleObama and the @GirlsAlliance are launching #GetHerThere, a new global call to action to empower and educate adolescent girls around the world.
 
Find out how you can answer the call: https://t.co/fRIBAs92mb https://t.co/SB1YlvFvF7",,298,ObamaFoundation,13,21,116,2022-10-11T12:30:47.000Z
1579509108654608386,2293315159,"This Indigenous Peoples' Day, get to know @marysmith828—an Obama Administration alum who is creating new opportunities for Native American girls, while blazing pathways of her own. https://t.co/QklEwZQea5",,193,ObamaFoundation,3,36,61,2022-10-10T16:28:12.000Z
1579469560620654594,2293315159,"We're bringing together #ObamaLeaders and global activists to discuss how we can adapt democracies to a new age!
 
President @BarackObama will join these leaders at the Democracy Forum, in partnership with @Columbia and @UChicago, in NYC on Nov. 17th. Stay tuned for more details!",,322,ObamaFoundation,13,73,96,2022-10-10T13:51:03.000Z
1578405952512004108,2293315159,"Our #ObamaLeaders program offers valuable training and resources to emerging leaders around the 🌍, like Joel. And right now, we're accepting applications for our 2023 cohorts in Africa, Asia-Pacific, and Europe until Friday, Oct. 21. Learn more at https://t.co/3ExyQ64xkA https://t.co/jAmnXUgj1q",,112,ObamaFoundation,5,12,31,2022-10-07T15:24:39.000Z
